סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
182,אבן יהודה,המרכז,השרון,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,מערב השרון,"14,021","14,019","13,794",2,
1081,אבן מנחם,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,280,280,279,-,אשכול רשויות גליל מערבי       
783,אבן ספיר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,710,710,702,-,
400,אבן שמואל,הדרום,אשקלון,יישובים יהודיים 4999-2000 תושבים,שפיר,אזור לכיש,"2,237","2,237","2,235",-,
4011,אבני איתן,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,740,740,740,-,אשכול רשויות גליל מזרחי       
3793,אבני חפץ,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,080","2,080","2,066",-,
3786,אבנת,יהודה והשומרון,,יישובים קהילתיים,מגילות ים המלח,,255,255,255,-,אשכול יהודה ושומרון           
1311,אבשלום,הדרום,באר שבע,יישובים קהילתיים,אשכול,אזור בשור,324,324,240,-,אשכול רשויות נגב מערבי        
3759,אדורה,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,447,447,440,-,
113,אדירים,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,הגלבוע,עמק יזרעאל,280,280,279,-,אשכול רשויות הגליל והעמקים    
1068,אדמית,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,246,246,215,-,אשכול רשויות גליל מערבי       
1123,אדרת,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,886,886,886,-,
446,אודים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,405","1,405","1,369",-,
4010,אודם,הצפון,גולן,מושבים שיתופיים,גולן,גולן צפוני,155,155,152,-,אשכול רשויות גליל מזרחי       
1046,אוהד,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,408,390,388,18,אשכול רשויות נגב מערבי        
2710,אום אל-פחם,חיפה,חדרה,יישובים לא יהודיים 99999-50000 תושבים,עירייה,הר אלכסנדר,"56,776",54,23,"56,722",
2024,אום אל-קוטוף,חיפה,חדרה,יישובים כפריים אחרים לא יהודיים,מנשה,הר אלכסנדר,"1,151",1,-,"1,150",
1358,אום בטין,הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,אל קסום,אזור באר שבע,"4,489",15,13,"4,474",אשכול רשויות נגב מזרחי        
1108,אומן,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,הגלבוע,עמק יזרעאל,468,468,442,-,אשכול רשויות הגליל והעמקים    
680,אומץ,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,829,828,809,1,
31,אופקים,הדרום,באר שבע,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור בשור,"32,555","32,333","30,206",222,אשכול רשויות נגב מערבי        
1294,אור הגנוז,הצפון,צפת,מושבים שיתופיים,מרום הגליל,גליל עליון מזרחי,593,593,593,-,אשכול רשויות גליל מזרחי       
67,אור הנר,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,788,788,766,-,אשכול רשויות נגב מערבי        
2400,אור יהודה,תל אביב,,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור רמת גן,"36,769","36,707","35,864",62,
1020,אור עקיבא,חיפה,חדרה,יישובים יהודיים 19999-10000 תושבים,עירייה,אזור חדרה,"19,447","19,348","17,750",99,
780,אורה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,"1,298","1,288","1,235",10,
1771,אורון,הדרום,באר שבע,מוקד תעסוקה,רמת נגב,הר הנגב הצפוני,-,-,-,-,אשכול רשויות נגב מזרחי        
2012,אורות,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,480,480,475,-,אשכול רשויות שורק דרומי       
4013,אורטל,הצפון,גולן,קיבוצים,גולן,גולן צפוני,349,349,349,-,אשכול רשויות גליל מזרחי       
403,אורים,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,482,481,453,1,אשכול רשויות נגב מערבי        
882,אורנים,חיפה,חיפה,יישובים מוסדיים יהודיים,זבולון,אזור חיפה,61,61,61,-,אשכול רשויות המפרץ            
3760,אורנית,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"8,966","8,951","8,812",15,אשכול יהודה ושומרון           
278,אושה,חיפה,חיפה,קיבוצים,זבולון,אזור חיפה,558,558,544,-,אשכול רשויות המפרץ            
565,אזור,תל אביב,,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חולון,"13,333","13,297","12,450",36,
1724,אזור תעסוקה משגב(תרדיון),הצפון,עכו,מוקד תעסוקה,משגב,אזור שפרעם,-,-,-,-,אשכול רשויות בית הכרם הגלילי  
1726,אזור תעשייה אכזיב (מילואות),הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור נהרייה,-,-,-,-,אשכול רשויות גליל מערבי       
1727,אזור תעשייה נעמן (מילואות),הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור עכו,-,-,-,-,אשכול רשויות גליל מערבי       
1157,אחווה,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,באר טוביה,אזור מלאכי,322,322,312,-,אשכול רשויות שורק דרומי       
821,אחוזם,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,540,537,518,3,
1330,אחוזת ברק,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,עמק יזרעאל,עמק יזרעאל,"2,390","2,390","2,324",-,אשכול רשויות הגליל והעמקים    
785,אחיהוד,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור עכו,912,912,901,-,אשכול רשויות גליל מערבי       
850,אחיטוב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,081","1,081","1,069",-,
804,אחיסמך,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,"1,404","1,404","1,401",-,
797,אחיעזר,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,"1,978","1,978","1,971",-,
338,איבים,הדרום,אשקלון,יישובים מוסדיים יהודיים,שער הנגב,אזור אשקלון,651,651,130,-,אשכול רשויות נגב מערבי        
716,אייל,המרכז,פתח תקווה,קיבוצים,דרום השרון,דרום השרון,534,534,528,-,אשכול רשויות השרון            
77,איילת השחר,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,"1,148","1,148","1,089",-,אשכול רשויות גליל מזרחי       
294,אילון,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,"1,055","1,049","1,024",6,אשכול רשויות גליל מערבי       
1716,אילון תבור*,הצפון,יזרעאל,מוקד תעסוקה,עמק יזרעאל,רמת כוכב,-,-,-,-,אשכול רשויות הגליל והעמקים    
1126,אילות,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,341,339,311,2,אשכול רשויות נגב מזרחי        
49,אילנייה,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,488,484,466,4,אשכול רשויות הכנרת והעמקים    
2600,אילת,הדרום,באר שבע,יישובים יהודיים 99999-50000 תושבים,עירייה,הערבה,"52,520","50,136","41,790","2,384",
1336,אירוס,המרכז,רחובות,יישובים קהילתיים,גן רווה,אזור ראשון לציון,729,729,719,-,
3762,איתמר,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,285","1,284","1,277",1,
37,איתן,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור לכיש,490,490,488,-,
886,איתנים,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,הרי יהודה,60,59,57,1,
478,אכסאל,הצפון,יזרעאל,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"14,939",9,3,"14,930",אשכול רשויות הגליל והעמקים    
1359,אל סייד,הדרום,באר שבע,יישובים לא יהודיים 9999-5000 תושבים,אל קסום,אזור באר שבע,"6,084",21,13,"6,063",אשכול רשויות נגב מזרחי        
1339,אל -עזי,הדרום,אשקלון,יישובים כפריים אחרים לא יהודיים,יואב,אזור מלאכי,200,1,1,199,אשכול רשויות שורק דרומי       
1316,אל -עריאן,חיפה,חדרה,יישובים כפריים אחרים לא יהודיים,מנשה,הר אלכסנדר,189,-,-,189,
4003,אל -רום,הצפון,גולן,קיבוצים,גולן,גולן צפוני,415,415,395,-,אשכול רשויות גליל מזרחי       
1145,אלומה,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,שפיר,אזור מלאכי,943,943,943,-,
330,אלומות,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,411,410,401,1,אשכול רשויות הכנרת והעמקים    
1182,אלון הגליל,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,"1,144","1,144","1,141",-,אשכול רשויות הגליל והעמקים    
3579,אלון מורה,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,010","2,010","2,009",-,
3604,אלון שבות,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,גוש עציון,,"3,071","3,071","3,070",-,
429,אלוני אבא,הצפון,יזרעאל,מושבים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,994,994,993,-,אשכול רשויות הגליל והעמקים    
4017,אלוני הבשן,הצפון,גולן,מושבים שיתופיים,גולן,גולן צפוני,447,447,447,-,אשכול רשויות גליל מזרחי       
868,אלוני יצחק,חיפה,חדרה,יישובים מוסדיים יהודיים,מנשה,אזור חדרה,300,297,215,3,
285,אלונים,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,אזור יקנעם,522,522,512,-,אשכול רשויות הגליל והעמקים    
1365,אליאב,הדרום,אשקלון,יישובים קהילתיים,לכיש,אזור לכיש,603,603,603,-,
41,אליכין,המרכז,השרון,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,מערב השרון,"3,484","3,483","3,442",1,
4002,אלי-עד,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,464,464,445,-,אשכול רשויות גליל מזרחי       
1248,אליפז,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,148,142,129,6,אשכול רשויות נגב מזרחי        
730,אליפלט,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,אזור חצור,642,642,634,-,אשכול רשויות גליל מזרחי       
682,אליקים,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,מגידו,רמת מנשה,928,927,899,1,אשכול רשויות הגליל והעמקים    
204,אלישיב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,722,722,715,-,
841,אלישמע,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,205","1,204","1,193",1,אשכול רשויות השרון            
1125,אלמגור,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,עמק הירדן,כנרות,417,417,404,-,אשכול רשויות הכנרת והעמקים    
3556,אלמוג,יהודה והשומרון,,קיבוצים,מגילות ים המלח,,246,246,239,-,אשכול יהודה ושומרון           
1309,אלעד,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"49,167","49,167","49,154",-,
3618,אלעזר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,גוש עציון,,"2,487","2,487","2,483",-,
3750,אלפי מנשה,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"7,997","7,996","7,711",1,אשכול יהודה ושומרון           
603,אלקוש,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,269,269,269,-,אשכול רשויות גליל מערבי       
3560,אלקנה,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,,"3,911","3,911","3,905",-,אשכול יהודה ושומרון           
772,אמונים,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,997,997,984,-,אשכול רשויות שורק דרומי       
1064,אמירים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,875,870,816,5,אשכול רשויות גליל מזרחי       
1253,אמנון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,אזור חצור,443,443,427,-,אשכול רשויות גליל מזרחי       
23,אמציה,הדרום,אשקלון,מושבים שיתופיים,לכיש,אזור לכיש,224,220,220,4,
4012,אניעם,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן תיכוני,514,514,501,-,אשכול רשויות גליל מזרחי       
3754,אספר,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,986,986,986,-,
529,אעבלין,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"13,547",17,4,"13,530",אשכול רשויות המפרץ            
4301,אפיק,הצפון,גולן,קיבוצים,גולן,גולן דרומי,345,345,304,-,אשכול רשויות גליל מזרחי       
176,אפיקים,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,"1,500","1,499","1,423",1,אשכול רשויות הכנרת והעמקים    
313,אפק,הצפון,עכו,קיבוצים,מטה אשר,אזור עכו,727,719,712,8,אשכול רשויות גליל מערבי       
3650,אפרת,יהודה והשומרון,,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,,"11,405","11,405","11,374",-,
701,ארבל,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,748,748,736,-,אשכול רשויות הכנרת והעמקים    
3598,ארגמן,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,134,134,133,-,אשכול יהודה ושומרון           
714,ארז,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,585,585,570,-,אשכול רשויות נגב מערבי        
3570,אריאל,יהודה והשומרון,,יישובים יהודיים 19999-10000 תושבים,עירייה,,"19,582","19,009","15,301",573,
1324,ארסוף,המרכז,השרון,יישובים כפריים אחרים יהודיים,חוף השרון,מערב השרון,184,184,165,-,
71,אשבול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור גרר,646,646,637,-,אשכול רשויות נגב מערבי        
1276,אשבל,הצפון,עכו,קיבוצים,משגב,אזור שפרעם,139,138,137,1,אשכול רשויות בית הכרם הגלילי  
70,אשדוד,הדרום,אשקלון,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור אשדוד,"226,153","225,836","202,329",317,
199,אשדות יעקב (איחוד),הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,"1,016","1,012",986,4,אשכול רשויות הכנרת והעמקים    
188,אשדות יעקב (מאוחד),הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,583,579,534,4,אשכול רשויות הכנרת והעמקים    
1188,אשחר,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,964,963,946,1,אשכול רשויות בית הכרם הגלילי  
3722,אשכולות,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,588,588,575,-,
2021,אשל הנשיא,הדרום,באר שבע,יישובים מוסדיים יהודיים,מרחבים,אזור בשור,140,140,133,-,אשכול רשויות נגב מערבי        
1152,אשלים,הדרום,באר שבע,יישובים קהילתיים,רמת נגב,הר הנגב הצפוני,666,664,616,2,אשכול רשויות נגב מזרחי        
7100,אשקלון,הדרום,אשקלון,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור אשקלון,"146,518","146,159","126,348",359,
1256,אשרת,הצפון,עכו,יישובים קהילתיים,מטה אשר,אזור נהרייה,563,563,557,-,אשכול רשויות גליל מערבי       
740,אשתאול,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,253","1,253","1,229",-,
6000,באקה אל-גרביה,חיפה,חדרה,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור חדרה,"30,456",26,14,"30,430",
21,באר אורה,הדרום,באר שבע,יישובים קהילתיים,חבל אילות,הערבה,"1,140","1,114","1,046",26,אשכול רשויות נגב מזרחי        
1376,באר גנים,הדרום,אשקלון,יישובים קהילתיים,חוף אשקלון,אזור אשקלון,"1,762","1,762","1,756",-,
155,באר טוביה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,300","1,300","1,277",-,אשכול רשויות שורק דרומי       
2530,באר יעקב,המרכז,רמלה,יישובים יהודיים 49999-20000 תושבים,מועצה מקומית,אזור רמלה,"29,015","28,914","27,869",101,
1278,באר מילכה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,רמת נגב,הר הנגב הצפוני,193,193,192,-,אשכול רשויות נגב מזרחי        
9000,באר שבע,הדרום,באר שבע,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור באר שבע,"210,595","204,644","181,571","5,951",
450,בארות יצחק,המרכז,פתח תקווה,קיבוצים,חבל מודיעין,אזור פתח תקווה,469,469,466,-,
697,בארותיים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,144","1,144","1,121",-,
399,בארי,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,"1,040","1,040",991,-,אשכול רשויות נגב מערבי        
559,בוסתן הגליל,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור עכו,"1,302","1,302","1,271",-,אשכול רשויות גליל מערבי       
482,בועיינה-נוג'ידאת,הצפון,,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,הרי נצרת-תירען,"9,997",14,4,"9,983",אשכול רשויות הכנרת והעמקים    
4001,בוקעאתא,הצפון,גולן,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,גולן צפוני,"6,665",-,-,"6,665",אשכול רשויות גליל מזרחי       
698,בורגתה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,136","1,134","1,117",2,
2043,בחן,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,"1,115","1,109","1,081",6,
762,בטחה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור בשור,793,793,788,-,אשכול רשויות נגב מערבי        
1725,"בי""ס אזורי מקיף (אשר)",הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור נהרייה,-,-,-,-,אשכול רשויות גליל מערבי       
234,ביצרון,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,234","1,234","1,224",-,אשכול רשויות שורק דרומי       
998,ביר אל-מכסור,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור שפרעם,"9,731",4,-,"9,727",אשכול רשויות המפרץ            
1348,ביר הדאג',הדרום,באר שבע,יישובים לא יהודיים 9999-5000 תושבים,נווה מדבר,הר הנגב הצפוני,"6,012",17,15,"5,995",אשכול רשויות נגב מזרחי        
368,בירייה,הצפון,צפת,יישובים כפריים אחרים יהודיים,מרום הגליל,גליל עליון מזרחי,816,816,812,-,אשכול רשויות גליל מזרחי       
317,בית אורן,חיפה,חדרה,קיבוצים,חוף הכרמל,אזור זכרון יעקב,542,531,504,11,
3574,בית אל,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"5,684","5,684","5,670",-,אשכול יהודה ושומרון           
562,בית אלעזרי,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,ברנר,אזור רחובות,"1,556","1,556","1,544",-,אשכול רשויות שורק דרומי       
95,בית אלפא,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,"1,178","1,178",634,-,אשכול רשויות הגליל והעמקים    
3652,בית אריה-עופרים,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"5,351","5,349","5,135",2,
1076,בית ברל,המרכז,פתח תקווה,יישובים מוסדיים יהודיים,דרום השרון,דרום השרון,226,186,174,40,אשכול רשויות השרון            
619,בית גוברין,הדרום,אשקלון,קיבוצים,יואב,אזור לכיש,435,435,428,-,אשכול רשויות שורק דרומי       
571,בית גמליאל,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,חבל יבנה,אזור רחובות,"1,025","1,015","1,015",10,אשכול רשויות שורק דרומי       
480,בית ג'ן,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור יחיעם,"12,151",1,-,"12,150",אשכול רשויות גליל מערבי       
466,בית דגן,המרכז,רמלה,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור רמלה,"7,298","7,289","7,141",9,
723,בית הגדי,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,842,842,842,-,אשכול רשויות נגב מערבי        
373,בית הלוי,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,827,827,822,-,
322,בית הלל,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,עמק חולה,789,789,777,-,אשכול רשויות גליל מזרחי       
572,בית העמק,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,713,694,659,19,אשכול רשויות גליל מערבי       
3645,בית הערבה,יהודה והשומרון,,קיבוצים,מגילות ים המלח,,398,398,395,-,אשכול יהודה ושומרון           
242,בית השיטה,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,"1,261","1,260","1,214",1,אשכול רשויות הגליל והעמקים    
353,בית זיד,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,עמק יזרעאל,אזור יקנעם,79,79,75,-,אשכול רשויות הגליל והעמקים    
710,בית זית,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,"1,683","1,683","1,641",-,
143,בית זרע,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,599,599,560,-,אשכול רשויות הכנרת והעמקים    
1712,בית חולים פוריה,הצפון,כנרת,מוקד תעסוקה,עמק הירדן,כנרות,-,-,-,-,אשכול רשויות הכנרת והעמקים    
3575,בית חורון,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,454","1,454","1,454",-,אשכול יהודה ושומרון           
877,בית חירות,המרכז,השרון,מושבים שיתופיים,עמק חפר,מערב השרון,904,904,893,-,
2033,בית חלקיה,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,נחל שורק,אזור רחובות,"1,407","1,407","1,407",-,אשכול רשויות שורק דרומי       
159,בית חנן,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,527,525,523,2,
800,בית חנניה,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,אזור חדרה,915,915,888,-,
1050,בית חשמונאי,המרכז,רמלה,יישובים יהודיים 4999-2000 תושבים,גזר,אזור רמלה,"2,192","2,192","2,179",-,
288,בית יהושע,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,080","1,080","1,064",-,
265,בית יוסף,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק המעיינות,עמק בית שאן,485,485,483,-,אשכול רשויות הכנרת והעמקים    
200,בית ינאי,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,370,370,369,-,
326,בית יצחק-שער חפר,המרכז,השרון,מושבים 4999-2000 תושבים,עמק חפר,מערב השרון,"2,137","2,137","2,108",-,
430,בית לחם הגלילית,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,838,837,822,1,אשכול רשויות הגליל והעמקים    
751,בית מאיר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,817,817,817,-,
784,בית נחמיה,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,889,889,878,-,
16,בית ניר,הדרום,אשקלון,קיבוצים,יואב,אזור לכיש,608,608,596,-,אשכול רשויות שורק דרומי       
672,בית נקופה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,739,739,720,-,
202,בית עובד,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,257,257,256,-,
301,בית עוזיאל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,644,644,637,-,
756,בית עזרא,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,106","1,105","1,081",1,אשכול רשויות שורק דרומי       
604,בית עריף,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,"1,189","1,188","1,174",1,
212,בית צבי,חיפה,חדרה,יישובים מוסדיים יהודיים,חוף הכרמל,חוף הכרמל,314,314,312,-,
598,בית קמה,הדרום,באר שבע,קיבוצים,בני שמעון,אזור גרר,"1,424","1,424","1,414",-,אשכול רשויות נגב מערבי        
365,בית קשת,הצפון,כנרת,קיבוצים,הגליל התחתון,גליל תחתון מזרחי,695,695,684,-,אשכול רשויות הכנרת והעמקים    
