,en_name,district,2020_population
118,Ashdot Ya'akov (consolidated),הצפון,583
119,buckthorn,הצפון,964
120,Clusters,יהודה והשומרון,588
121,Ashel the president,הדרום,140
122,I'm delusional,הדרום,666
123,Ashkelon,הדרום,"146,518"
124,visa,הצפון,563
125,I will ask,ירושלים,"1,253"
126,Baqqa al-Gharbiyya,חיפה,"30,456"
127,Beer Ora,הדרום,"1,140"
128,Garden well,הדרום,"1,762"
129,Tobiah's well,הדרום,"1,300"
130,Be'er Ya'akov,המרכז,"29,015"
131,Beer Milka,הדרום,193
132,Beer Sheva,הדרום,"210,595"
133,Isaac's wells,המרכז,469
134,in Arothim,המרכז,"1,144"
135,Barry,הדרום,"1,040"
136,Bustan Hagalil,הצפון,"1,302"
137,Buaina-Nojidat,הצפון,"9,997"
138,Buqaata,הצפון,"6,665"
139,Borgata,המרכז,"1,136"
140,test,המרכז,"1,115"
141,trustfulness,הדרום,793
142,Comprehensive Regional School (Asher),הצפון,-
143,Bitzron,הדרום,"1,234"
144,Bir al-Maksor,הצפון,"9,731"
145,Beer HaDaj,הדרום,"6,012"
146,in a shooting,הצפון,816
147,Beit Oren,חיפה,542
148,Bethel,יהודה והשומרון,"5,684"
149,Beit Elazari,המרכז,"1,556"
150,Alpha house,הצפון,"1,178"
151,Beit Arye-Ofarim,יהודה והשומרון,"5,351"
152,Beit Berl,המרכז,226
153,Beit Guvrin,הדרום,435
154,Beit Gamliel,המרכז,"1,025"
155,garden House,הצפון,"12,151"
156,Beit Dagan,המרכז,"7,298"
157,Capricorn House,הדרום,842
158,Beit Halevi,המרכז,827
159,Beit Hillel,הצפון,789
160,The valley house,הצפון,713
161,The willow house,יהודה והשומרון,398
162,The method house,הצפון,"1,261"
163,Beit Zid,הצפון,79
164,Olive House,ירושלים,"1,683"
165,A seed house,הצפון,599
166,Furia Hospital,הצפון,-
167,Beit Horon,יהודה והשומרון,"1,454"
168,Liberty House,המרכז,904
169,House of parts,המרכז,"1,407"
170,Beit Hanan,המרכז,527
171,House of Hanania,חיפה,915
172,House of Hasmoneans,המרכז,"2,192"
173,Beit Yehoshua,המרכז,"1,080"
174,Beit Yosef,הצפון,485
175,Beit Yanai,המרכז,370
176,Beit Yitzchak-Shaar Hafer,המרכז,"2,137"
177,Bethlehem of Galilee,הצפון,838
178,Beit Meir,ירושלים,817
179,Beit Nehemiah,המרכז,889
180,Beit Nir,הדרום,608
181,A cash register house,ירושלים,739
182,working house,המרכז,257
183,Beit Uziel,המרכז,644
184,Beit Ezra,הדרום,"1,106"
185,Beit Arif,המרכז,"1,189"
186,Beit Zvi,חיפה,314
187,Beit Kama,הדרום,"1,424"
188,Beit Keshet,הצפון,695
189,Beit Raban,המרכז,931
190,Beit Rimon,הצפון,866
191,Beit Shean,הצפון,"18,705"
192,Beit Shemesh,ירושלים,"132,543"
193,Beit Shaarim,הצפון,787
194,Sycamore House,הדרום,893
195,Beitan Aharon,המרכז,138
196,Beitar Illit,יהודה והשומרון,"61,125"
197,Belfuria,הצפון,543
198,Ben is eligible,המרכז,"1,135"
199,Ben-Ami,הצפון,777
200,Ben Shemen (youth village),המרכז,671
201,Ben Shemen (seat),המרכז,873
202,Bnei Brak,תל אביב,"208,793"
203,Palm trees,הדרום,"1,426"
204,Beni Darom,המרכז,925
205,Benny Dror,המרכז,"1,208"
206,Bnei Yehuda,הצפון,"1,119"
207,Sons of Nazareth,הדרום,820
208,Bnei Atarot,המרכז,959
209,sons of Aish,המרכז,"6,925"
210,Bnei Zion,המרכז,"1,349"
211,Bani Ram,המרכז,"1,427"
212,construction,המרכז,780
213,Binyamina-Givat Ada*,חיפה,"15,925"
214,flavor,חיפה,"10,259"
215,Basmat Tivon,הצפון,"7,998"
216,answered,הצפון,"8,435"
217,in trouble,המרכז,"1,201"
218,Swamp,הצפון,306
219,in the corner,ירושלים,790
220,hiccups,יהודה והשומרון,192
221,Bar Gyora,ירושלים,696
222,Bar Yochai,הצפון,"1,088"
223,Bruchin,יהודה והשומרון,"1,478"
224,Obviously a force,הדרום,"1,001"
225,cypress,הדרום,584
226,blessing,יהודה והשומרון,"2,927"
227,her knees,הדרום,"1,252"
228,bar-Lev,הצפון,-
229,in thunder,הצפון,638
230,Lightning,הצפון,411
231,Barkai,חיפה,557
232,Bracken,יהודה והשומרון,"1,933"
233,emerald,המרכז,"2,126"
234,Bat Hadar,הדרום,764
235,Bat Chen,המרכז,428
236,Bat Hefer,המרכז,"5,285"
237,Bat Yam,תל אביב,"127,802"
238,Bat Ayin,יהודה והשומרון,"1,605"
239,Shlomo's daughter,חיפה,659
240,Observatories - Kishon,חיפה,-
241,Gawli Yemen,המרכז,363
242,redeemed,המרכז,968
243,Gaul,המרכז,968
244,Limits,הדרום,378
245,backs,הדרום,624
246,a hill,הצפון,616
247,Geva Binyamin,יהודה והשומרון,"5,761"
248,Carmel Hill,חיפה,"1,220"
249,stems,הדרום,410
250,New Gibeon,יהודה והשומרון,"1,043"
251,Givat Bar,הדרום,"1,245"
252,Givat Avni,הצפון,"2,084"
253,Givat Ela,הצפון,"1,935"
254,Brener Hill,המרכז,"2,686"
255,The Three Hill,המרכז,886
256,Ze'ev hill,יהודה והשומרון,"19,225"
257,Givat Han,המרכז,360
258,A lovely hill,חיפה,-
259,Givat Haim (Union),המרכז,"1,192"
260,Givat Haim (United),המרכז,"1,027"
261,Givat Yoav,הצפון,740
262,Givat Yarim,ירושלים,"1,433"
263,Givat Isaiah,ירושלים,812
264,Givat 28,המרכז,895
265,Givat Nili,חיפה,711
266,Givat Oz,הצפון,467
267,Givat Shmuel,המרכז,"27,249"
268,Givat Shemesh,ירושלים,55
269,Givat Shapira,המרכז,407
270,Givati,הדרום,"1,048"
271,Givatayim,תל אביב,"61,060"
272,Gebraam,הדרום,633
273,You frowned,הצפון,933
274,Gadot,הצפון,434
275,Jedidah-Maker,הצפון,"21,335"
276,heap,הצפון,412
277,Gedona,הצפון,496
278,a fence,המרכז,"28,897"
279,Jules,הצפון,"6,567"
280,protector,הצפון,354
281,Goren,הצפון,413
282,The threshing floors of the Galilee,הצפון,206
283,Gazit,הצפון,769
284,Carrot,המרכז,292
285,Gaia,הדרום,977
286,gibton,המרכז,385
287,Gizo,ירושלים,211
288,a sheet,הצפון,"1,098"
289,you discovered,הדרום,"1,493"
290,Ginosar,הצפון,581
291,Ginger,הצפון,669
292,gardener,המרכז,916
293,Goethe,הצפון,292
294,Gitti,יהודה והשומרון,497
295,Galeon,הדרום,595
296,Jaljulia,המרכז,"10,357"
297,pulley,יהודה והשומרון,217
298,Rolls,תל אביב,541
299,Gilad (Even Yitzchak),הצפון,499
300,Gomzo,המרכז,"1,213"
301,the south garden,המרכז,637
302,Garden of Samaria,חיפה,842
303,Gan Haim,המרכז,815
304,Gan Yashia,המרכז,"1,009"
305,Gan Yavne,המרכז,"23,925"
306,Gan Ner,הצפון,"2,709"
307,A whistling garden,המרכז,701
308,Gan Shlomo,המרכז,596
309,Gan Shmuel,חיפה,942
310,disgrace,המרכז,592
311,Ganot Hadar,המרכז,965
312,Hadar gardens,המרכז,357
313,Tal gardens,המרכז,898
314,John's Gardens,המרכז,608
315,Gani Modi'in,יהודה והשומרון,"2,716"
316,Gardens with,המרכז,233
317,Ganei Tikva,המרכז,"21,551"
318,Jessar al-Zarqa,חיפה,"15,128"
319,volcano,המרכז,874
320,Gaton,הצפון,693
321,vine,ירושלים,414
322,group,הדרום,242
323,Jash (block of milk),הצפון,"3,127"
324,bridge,הצפון,289
325,bridge,הצפון,423
326,The Ziv Bridge,הצפון,"1,624"
327,Jet,חיפה,"12,269"
328,Gat (kibbutz),הדרום,929
329,Gat Rimon,המרכז,322
330,Dali'at el Carmel,חיפה,"17,865"
331,Bumblebee,הצפון,208
332,apiary,הצפון,"10,681"
333,Debra,הדרום,"1,042"
334,you spoke,הצפון,522
335,Degania A.,הצפון,525
336,Degania B,הצפון,673
337,Dubb,הצפון,478
338,plane,יהודה והשומרון,"1,513"
339,generation,חיפה,448
340,generations,הדרום,851
341,reject,הצפון,715
342,Deir al-Assad,הצפון,"12,734"
343,Tenant Hana,הצפון,"10,486"
344,Deir Rafat,ירושלים,103
345,Dimona,הדרום,"35,270"
346,elk,הצפון,338
347,Dahlia,הצפון,846
348,Kite,הצפון,866
349,imagined,הצפון,536
350,Dan,הצפון,762
351,bay,הצפון,987
352,palm tree,הדרום,362
353,Darijat,הדרום,"1,275"
354,Haun,הצפון,177
355,the builders,חיפה,370
356,the bridgers,הצפון,917
357,Hadar with,המרכז,692
358,Hod Hasharon,המרכז,"64,490"
359,Indianness,הצפון,302
360,Acknowledgment,הדרום,591
361,suspension,הצפון,"2,095"
362,the sower,הצפון,922
363,the sowers,הצפון,"1,081"
364,the rowers,חיפה,875
365,the scribe,הצפון,745
366,Hila,הצפון,579
367,the qualifier,המרכז,859
368,The Center for Research - Nahal Sorek,המרכז,-
369,the batteries,הצפון,962
370,the anchor,המרכז,932
371,Mount Adar,יהודה והשומרון,"4,084"
372,Mount Gila,יהודה והשומרון,"1,625"
373,Mount Amsha,הדרום,220
374,Harel,ירושלים,257
375,oleander,הצפון,"1,105"
376,Herzliya,תל אביב,"98,965"
377,mountainous,הצפון,586
378,Rose of Jericho,יהודה והשומרון,360
379,Verdon,הדרום,273
380,Zebediel,הדרום,574
381,Glamor,הדרום,356
382,Zikim,הדרום,856
383,an olive,המרכז,"1,038"
384,Zichron Yaakov,חיפה,"23,438"
385,Zechariah,ירושלים,"1,103"
386,Singer,המרכז,"7,252"
387,female singer,הדרום,648
388,neglected,ירושלים,541
389,her arm,הדרום,500
390,starling,הצפון,"8,275"
391,Zarahiya,הדרום,740
392,Lily of the Sharon,המרכז,488
393,Friend,הצפון,677
394,belt,המרכז,"1,142"
395,Hagai,יהודה והשומרון,676
396,partridge,המרכז,864
397,Hadid,המרכז,903
398,Ness,הצפון,853
399,Hadera,חיפה,"98,908"
400,Khalid,חיפה,710
401,rat,המרכז,"1,134"
402,Holon,תל אביב,"197,247"
403,Dune,הדרום,205
404,sick,הצפון,704
405,sturdiness,הצפון,"1,176"
406,Hosnia,הצפון,801
407,beach,המרכז,801
408,Enacted,הצפון,602
409,a hole,הדרום,"23,102"
410,Khorfish,הצפון,"6,490"
411,plowing,המרכז,339
412,vision,הצפון,296
413,Lovers of Zion,המרכז,806
414,graceful,יהודה והשומרון,"1,477"
415,Haifa,חיפה,"283,736"
416,freedom,המרכז,"1,266"
417,pioneer,הצפון,534
418,extract,הדרום,478
419,Hamad,המרכז,"1,316"
420,hammam,הצפון,"1,530"
421,Hamdia,הצפון,404
422,greedy,יהודה והשומרון,310
423,hardware,יהודה והשומרון,259
424,Haniel,המרכז,924
425,parking,הצפון,747
426,a charmer,הצפון,992
427,Hasfin,הצפון,"2,007"
428,Chafetz Chaim,המרכז,557
429,I want her,הצפון,723
430,squill,הדרום,"1,507"
431,measles,הדרום,693
432,Hazor HaGalilit,הצפון,"9,568"
433,Hazor-Ashdod,הדרום,649
434,premises,הדרום,850
435,sword to shovel,המרכז,929
436,diligent,המרכז,857
437,earing,חיפה,"19,568"
438,scythe,יהודה והשומרון,230
439,deaf,הצפון,356
440,Hasmoneans,יהודה והשומרון,"2,712"
441,Tiberias,הצפון,"45,868"
442,Tuba-Zangria,הצפון,"6,896"
443,Turean,הצפון,"14,436"
444,Taiba,המרכז,"44,585"
445,Taiba (in the valley),הצפון,"1,919"
446,castle,המרכז,"27,036"
447,Yehuda Castle,המרכז,"1,236"
448,Tirat Carmel,חיפה,"24,296"
449,Tirat Zvi,הצפון,923
450,Tal Shahar,ירושלים,"1,391"
451,Tel-al,הצפון,"1,200"
452,snowdrifts,הדרום,561
453,Telmon,יהודה והשומרון,"4,882"
454,Tamra,הצפון,"34,878"
455,Tamra (Jezreel),הצפון,"1,623"
456,basket,יהודה והשומרון,925
457,taphot,הצפון,509
458,Yanoh-Jeth,הצפון,"6,775"
459,crop,הדרום,354
460,Yavnal,הצפון,"4,333"
461,Yavne,המרכז,"49,835"
462,Yegor,חיפה,"1,637"
463,Yagel,המרכז,906
464,Yad Binyamin,המרכז,"4,253"
465,Hand of eight,ירושלים,293
466,Yad Hana,המרכז,959
467,Yad Mordechai,הדרום,745
468,Yad Natan,הדרום,660
469,Yad Rambam,המרכז,"1,120"
470,a friend,ירושלים,229
471,Yehud-Monoson,המרכז,"30,020"
472,Yahal,הדרום,233
473,jubilee,הצפון,640
474,tributaries,הצפון,"1,088"
475,Yodafat,הצפון,906
476,Jonathan,הצפון,770
477,Yoshibia,הדרום,700
478,Jezreel,הצפון,552
479,Yahyam,הצפון,720
480,her benefit,הדרום,721
481,ITB,יהודה והשומרון,323
482,will prepare you,הדרום,725
483,Dead Sea - hotels,הדרום,-
484,Yanov,המרכז,931
485,Yanon,הדרום,"1,212"
486,the foundation of the higher,הצפון,"1,761"
487,basics,המרכז,992
488,storm,הצפון,884
489,target,הצפון,695
490,Yael,הצפון,-
491,volley,המרכז,309
492,honeysuckle,הצפון,749
493,amazing,הצפון,"19,300"
494,beautiful,יהודה והשומרון,218
495,Ifat,הצפון,"1,204"
496,will open,הצפון,582
497,Yitzhar,יהודה והשומרון,"1,838"
498,will peek,המרכז,837
499,universe,המרכז,775
500,darling,יהודה והשומרון,"2,368"
501,Yakneam (colony),הצפון,"1,383"
502,Yokneam Illith,הצפון,"24,091"
503,Yaraon,הצפון,403
504,Jordana,הצפון,359
505,Yeruham,הדרום,"10,773"
506,Jerusalem,ירושלים,"951,149"
507,will expand,המרכז,"1,097"
508,Yercha,הצפון,"17,404"
509,Yarkona,המרכז,368
510,salvation,הדרום,425
511,Ishai,ירושלים,806
512,will take root,המרכז,991
513,stake,הדרום,537
514,as a ball,הצפון,"14,244"
515,Ka'uqb Abu al-Hijah,הצפון,"3,668"
516,already,הצפון,"1,068"
517,spherical,הצפון,202
518,like her,הצפון,190
519,dawn star,יהודה והשומרון,"2,450"
520,Kochav Yair,המרכז,"8,735"
521,Kochav Yaakov,יהודה והשומרון,"9,116"
522,Michael star,הדרום,"1,090"
523,Kuriz,הצפון,335
524,antimony,הצפון,463
525,blue,הדרום,439
526,sweeps,הדרום,286
527,spindle,הצפון,213
528,completely,הצפון,784
529,anemone,הצפון,251
530,Kamana,הצפון,"1,570"
531,truffle,הדרום,247
532,cumin,הצפון,"1,402"
533,sincerity,הדרום,454
534,wing,הצפון,470
535,Kinneret (colony),הצפון,695
536,Sea of ​​Galilee (group),הצפון,693
537,silver,הדרום,"22,485"
538,as a living room,ירושלים,469
539,Kasra-Samiya,הצפון,"8,964"
540,Ka'abia-Tabash-Khajajara,הצפון,"5,624"
541,Kfar Aviv,המרכז,834
542,Kfar Adumim,יהודה והשומרון,"4,785"
543,Kfar Uria,ירושלים,918
544,Kfar Ahim,הדרום,888
545,Bialik village,חיפה,846
546,Bilo village,המרכז,"1,270"
547,Bloom village,הצפון,782
548,Kfar Ben Nun,המרכז,731
549,Kfar Bara,המרכז,"3,754"
550,Kfar Baruch,הצפון,614
551,Kfar Gideon,הצפון,334
552,Kfar Galim,חיפה,387
553,Glikson village,חיפה,347
554,Kfar Giladi,הצפון,686
555,Kfar Daniel,המרכז,699
556,The pine village,יהודה והשומרון,"2,614"
557,The forest village,הצפון,726
558,Maccabi village,חיפה,402
559,Governor's village,המרכז,"1,242"
560,The religious youth village,חיפה,376
561,Kfar Hanasi,הצפון,960
562,Kfar Hess,המרכז,"1,595"
563,Kfar HaRa,המרכז,"1,475"
564,The Rif village,הדרום,833
565,Kfar Vitkin,המרכז,"1,963"
566,Warburg village,הדרום,"1,147"
567,Village Roses,הצפון,"5,490"
568,Zoharim village,ירושלים,148
569,Olive village,הצפון,796
570,Kfar Habad,המרכז,"6,734"
571,Kfar Hoshan,הצפון,791
572,Wheat village,הצפון,606
573,Kfar Haim,המרכז,635
574,Kfar Hanania,הצפון,762
575,Kfar Hassidim A,חיפה,837
576,Kfar Hassidim B,חיפה,305
577,Kfar Harob,הצפון,455
578,Kfar Truman,המרכז,874
579,Kfar Yasif,הצפון,"10,245"
580,Kfar Yedidia,המרכז,734
581,Joshua Village,הצפון,"1,224"
582,Kfar Yona,המרכז,"26,182"
583,Kfar Yehezkel,הצפון,"1,215"
584,Kfar Yabetz,המרכז,683
585,Kfar Kama,הצפון,"3,427"
586,Kana village,הצפון,"23,266"
587,Kfar Munesh,המרכז,940
588,Kfar Maimon,הדרום,419
589,Kfar Malal,המרכז,325
590,Manda village,הצפון,"20,622"
591,Kfar Menachem,הדרום,"1,345"
592,Mesrik village,הצפון,868
593,Kfar Metzr,הצפון,"2,777"
594,Kfar Mordechai,המרכז,657
595,Neter village,המרכז,"1,158"
596,Sold village,הצפון,689
597,Kfar Saba,המרכז,"101,829"
598,Kfar Silver,הדרום,399
599,Sirkin village,המרכז,"1,528"
600,A working village,המרכז,225
601,Gaza village,הדרום,742
602,Kfar Etzion,יהודה והשומרון,"1,203"
603,Kfar Pines,חיפה,"1,087"
604,Kafr Qasim,המרכז,"24,256"
605,Kfar Kish,הצפון,663
606,Kfar Kara,חיפה,"19,295"
607,Rosh Hankara village,הצפון,"1,378"
608,Kfar Rosenwald (seed),הצפון,244
609,Kfar Rupin,הצפון,532
610,Ruth village,המרכז,272
611,Kfar Shammai,הצפון,574
612,Kfar Shmuel,המרכז,958
613,Kfar Shmaryahu,תל אביב,"1,926"
614,Kfar Tavor,הצפון,"4,401"
615,Apple village,יהודה והשומרון,"1,473"
616,crocus,הצפון,527
617,Kerem Ben Zimra,הצפון,530
618,Kerem Ben Shemen,המרכז,82
619,Kerem Yavneh (sitting),המרכז,529
620,A vineyard from the Harel,חיפה,783
621,Shalom vineyard,הדרום,191
622,Carmi Yosef,המרכז,"1,722"
623,Tzur vineyards,יהודה והשומרון,995
624,Picking vineyards,הדרום,611
625,Carmiel,הצפון,"46,123"
626,Karmeya,הדרום,653
627,vineyards,הדרום,508
628,Carmel,יהודה והשומרון,447
629,Frankincense,הצפון,721
630,Levi,הצפון,615
631,whites,הצפון,426
632,blade,הדרום,657
633,The flames of the Bashan,הצפון,911
634,Lovely flames,חיפה,"1,044"
635,blades,הדרום,"6,694"
636,Lod,המרכז,"80,931"
637,Luzit,ירושלים,835
638,The fighters of the ghettos,הצפון,783
639,Lotem,הצפון,788
640,Lutan,הדרום,180
641,Lyman,הצפון,666
642,Lachish,הדרום,791
643,torch,המרכז,"2,359"
644,torches,הצפון,130
645,to Kia,הדרום,"14,641"
646,Maor,חיפה,"1,436"
647,Meir Shafia,חיפה,337
648,More introduction,ירושלים,"1,005"
649,Dotan's introduction,יהודה והשומרון,479
650,Mevo Horon,יהודה והשומרון,"2,686"
651,A warm introduction,הצפון,473
652,Introduction informants,המרכז,246
653,Sea inlets,המרכז,369
654,Introductions of Jericho,יהודה והשומרון,-
655,Terrified,הדרום,"1,245"
656,Insurers,הדרום,465
657,scoring,הדרום,478
658,Mevaseret Zion,ירושלים,"24,246"
659,Magar,הצפון,"23,275"
660,Majd al-Krum,הצפון,"15,446"
661,Magad,חיפה,"1,380"
662,tower,הצפון,"1,979"
663,Migdal Haemek,הצפון,"25,721"
664,Oz tower,יהודה והשומרון,576
665,Majdal Shams,הצפון,"11,266"
666,Migdal Tafen,הצפון,-
667,towers,יהודה והשומרון,505
668,Megiddo,הצפון,848
669,sickle,חיפה,"1,149"
670,Protector,הדרום,535
671,Magen Shaul,הצפון,705
672,fulfilling,המרכז,"1,089"
673,Oz way,הצפון,793
674,Ben Gurion Midrash,הדרום,"1,958"
675,Rupin Midrash,המרכז,228
676,Modi'in Illit,יהודה והשומרון,"77,967"
677,Modi'in Maccabim-Reut*,המרכז,"94,657"
678,homeland,הצפון,"1,089"
679,elite origin,ירושלים,"1,231"
680,Mokaybela,הצפון,"4,136"
681,moran,הצפון,472
682,legacy,הצפון,"1,544"
683,Balm,המרכז,"1,318"
684,A souvenir of her house,המרכז,"15,093"
685,from a seed,הצפון,802
686,from her seed,הצפון,"3,998"
687,sick,יהודה והשומרון,629
688,Yatir camp,הדרום,292
689,from two,הצפון,833
690,from her cover,ירושלים,481
691,Matula,הצפון,"1,655"
692,plantation,ירושלים,949
693,Who is my people?,חיפה,364
694,The best,הצפון,458
695,excruciating,חיפה,"2,072"
696,manufacturer,הצפון,289
697,most,הצפון,742
698,Miron,הצפון,"1,077"
699,Straight,המרכז,806
700,string,הדרום,"9,980"
701,addicted,יהודה והשומרון,178
702,paintbrush,הדרום,994
703,trawl,המרכז,"1,459"
704,from money,הצפון,577
705,full,הצפון,389
706,from nights,הדרום,371
707,a queen,הצפון,463
708,Malkishua,הצפון,241
709,rest,הדרום,640
710,crane,הצפון,864
711,Dishes,הצפון,475
712,Menachemia,הצפון,"1,054"
713,a lamp,הצפון,259
714,Menshit Zvada,הצפון,"1,424"
715,foundation,הצפון,378
716,Masada,הצפון,355
717,tracks,הצפון,447
718,Zion Railway,ירושלים,"1,244"
719,Route,הדרום,886
720,Restaurant,הצפון,"3,753"
721,transitions,המרכז,991
722,circles,הדרום,"2,080"
723,anchorage,הצפון,384
724,Ma'agan Michael,חיפה,"2,067"
725,bastion of life,הצפון,490
726,residence,יהודה והשומרון,594
727,tortured,הצפון,978
728,A blessed spring,הצפון,695
729,Ma'an Zvi,חיפה,742
730,Mailia,הצפון,"3,270"
731,Ma'ale Adumim,יהודה והשומרון,"37,847"
732,Maale Ephraim,יהודה והשומרון,"1,256"
733,Ma'ale Gilboa,הצפון,804
734,Retired,הצפון,559
735,High five,ירושלים,819
736,Frankincense,יהודה והשומרון,945
737,More than four,יהודה והשומרון,"1,635"
738,Ma'ale Iron,חיפה,"15,380"
739,Ma'ale Amos,יהודה והשומרון,720
740,Tarshiha,הצפון,"22,121"
741,sulcus,חיפה,834
742,action,המרכז,847
743,levels,הדרום,"1,034"
744,Absalom factories,הדרום,-
745,Barkan factories,יהודה והשומרון,-
746,Upper Galilee factories,הצפון,-
747,Garnet factories,חיפה,-
748,Ha'Emek Enterprises (Jezreel),הצפון,-
749,Rope factories notify,המרכז,-
750,Dead Sea Factories (Sodom),הדרום,-
751,Honest factories,הדרום,-
752,Mishor Rotem factories,הדרום,-
753,Daycare establishments,הדרום,-
754,Nehem Harotov factories,ירושלים,-
755,Malachi junction factories,הדרום,-
756,Zin - Arava factories,הדרום,-
757,Plant factories,הצפון,-
758,Shan factories,הצפון,-
759,Masadat Yehuda,יהודה והשומרון,603
760,position,הצפון,"1,153"
761,successful,המרכז,"1,346"
762,expecting,הצפון,131
763,Mitzpe Aviv,הצפון,"1,086"
764,Mitzpe Ilan,חיפה,725
765,Mitzpe Jericho,יהודה והשומרון,"2,577"
766,Mitzpe Netufa,הצפון,"1,035"
767,Mitzpe Ramon,הדרום,"5,186"
768,A complete expectation,יהודה והשומרון,244
769,strait,חיפה,388
770,Mikve Israel,תל אביב,374
771,spies,הצפון,408
772,Marom Golan,הצפון,744
773,space with,הדרום,515
774,Mehravia (seat),הצפון,667
775,Mehravia (kibbutz),הצפון,"1,272"
776,Spherical regional center,הצפון,-
777,Marom HaGalil regional center,הצפון,-
778,Meshgav Regional Center,הצפון,-
779,Shoham Regional Center,המרכז,-
780,Center 28,הצפון,-
781,Mirab Center*,חיפה,-
782,Shapira Center,הדרום,"2,466"
783,field resources,הדרום,468
784,Meshgav Dov,המרכז,721
785,Mishgav with,הצפון,333
786,Mashad,הצפון,"8,486"
787,beacon,יהודה והשומרון,180
788,Isaac beacons,הדרום,708
789,durations,יהודה והשומרון,333
790,Mishmar Ayalon,המרכז,563
791,Mishmar David,המרכז,"1,137"
792,Jordan Escort,הצפון,868
793,The Negev Guard,הדרום,"1,034"
794,guard of the valley,הצפון,"1,283"
795,The Seventh Guard,המרכז,"1,061"
