,OBJECTID,Traffic area,TAZ_Number,en_area name,Authority,Inside the city of Jerusalem?,Inside the Jerusalem metropolis?,sector,A total of one until 2020,Additional unit 2020_ 2025,Additional unit 2025_ 2030,Additional unit 2030_ 2035,Addendum y_d 2035_ 2040,Total addition between 2020_2040,A total of one until 2040,Gm_b average 2020,Gm_b average 2025,Gm_b average 2030,Gm_b average 2035,Gm_b average 2040,2020 population projections,Population projections 2025,Population projections 2030,2035 population projections,Population projections 2040,Total students 2020,Total students 2025,Total students 2030,Total students 2035,Total students 2040,Total employed 2020,Total employed 2025,Total employed 2030,Total employed 2035,Total employed 2040,Total Yeshiva students and include 2020,Total Yeshiva students and include 2025,Total Yeshiva students and include 2030,Total yeshiva students and include 2035,Total Yeshiva students including 2040,Higher education students 2020,Higher education students 2025,Higher education students 2030,Higher education students 2035,Higher education students 2040,Shape_Area,Shape__Length,Units per square kilometer - 2020,Units per square kilometer - 2040,Employed per square kilometer - 2020,Employed per square kilometer - 2040
10,11,5104,5104,Sanhedria,Jerusalem,1,1,Ultra Orthodox,917.4605703,26.0,20.5,20.5,71.5,138.5,1055.96057,6.306205529,6.390729538,6.44891041,6.473980787,6.275158328,5785.694921,6029.401334,6216.495357,6373.378818,6626.319767,496.6894183,558.0156972,549.0286872,548.3495471,557.1353504,499.2808826,580.5757974,597.2642492,613.7924338,830.3515413,1415.144582,1409.908591,1397.842979,1430.020142,1459.456231,0.0,0.0,0.0,0.0,0.0,177444.524703979,1924.7070287182,5170.40788849668,5950.93351999222,2813.72943703347,4679.49936852223
11,12,5211,5211,Ezerat Torah,Jerusalem,1,1,Ultra Orthodox,466.7428571,7.59,15.99,45.99,7.59,77.16,543.9028571,6.641772772,6.260784539,5.885224561,5.57775979,5.386983289,3100.0,2969.695818,2885.660122,2991.424289,2929.995602,1793.0,1712.110805,1669.02858,1702.737699,1667.7721,497.0015435,499.216612,505.5264551,522.4871982,527.7091645,1216.05154,1185.404559,1179.853258,1218.72486,1226.372663,0.0,0.0,0.0,0.0,0.0,148598.216369629,2206.94798550417,3140.97213615947,3660.22466748238,3344.59965699547,3551.24830830645
12,13,5213,5213,Chav_d housing,Jerusalem,1,1,Ultra Orthodox,793.7350455,37.29,7.59,7.59,53.49,105.96,899.6950455,5.587480822,5.67973619,5.801945979,5.871335484,5.781406452,4434.979344,4720.003026,4865.599191,4968.353711,5201.502741,1595.819534,1778.212243,1947.521917,2119.60233,2333.654472,492.0394499,508.1115339,523.1110364,539.036362,560.2496923,847.0557536,849.4909093,824.0975366,863.6790741,893.0845636,0.0,0.0,0.0,0.0,0.0,119600.529052734,1844.22494993996,6636.55129109024,7522.50054933541,4114.02402478546,4684.34125448537
13,14,5103,5103,Samuel the Prophet,Jerusalem,1,1,Ultra Orthodox,874.75,27.375,27.375,49.775,27.375,131.9,1006.65,5.167794349,5.316885515,5.366918411,5.364588072,5.334649459,4520.528106,4796.495345,4988.550663,5253.406984,5370.124878,286.0012225,378.2924681,473.2789428,584.2142715,686.1732792,349.1844168,354.9421769,363.6520717,375.2424592,384.8030637,333.2510666,386.3486131,391.5986921,396.4050545,396.663536,0.0,0.0,0.0,0.0,0.0,109020.521743774,1517.88958187986,8023.71870917919,9233.58266772819,3202.92373596112,3529.63880143946
14,15,113,113,The beer cedars,Jerusalem,1,1,Ultra Orthodox,757.0,20.0,30.0,50.0,150.0,250.0,1007.0,4.502867795,4.587456386,4.703844372,4.775334343,4.746929978,3408.670921,3564.453612,3796.002408,4092.461532,4780.158488,3438.0,3484.734807,3531.044567,3590.336391,3727.875783,606.5957191,619.9045492,634.9811738,651.8178727,686.0885894,630.363826,620.8756666,630.0403448,646.1487512,663.8181101,0.0,0.0,0.0,0.0,0.0,141497.906112671,2129.13030886722,5349.90248828998,7116.71308547954,4286.9589788628,4848.75436145102
15,16,5505,5505,Mount Nof - Northwest,Jerusalem,1,1,Ultra Orthodox,795.6565333,5.0,5.0,5.0,36.2,51.2,846.8565333,4.088447545,4.101633926,4.127068872,4.128752267,4.066804547,3253.0,3284.0,3325.0,3347.0,3444.0,227.1111738,237.2312348,240.7566153,233.8028436,242.5977146,316.3831074,322.8572176,328.9152094,332.6347229,342.5428959,689.0832056,680.5448013,680.7135921,712.2127083,716.6767775,0.0,0.0,0.0,0.0,0.0,350179.382446289,3038.20450786209,2272.13986083843,2418.3506389897,903.488678259141,978.192643744638
16,17,5305,5305,Givat Shaul West,Jerusalem,1,1,Ultra Orthodox,1322.322267,341.0,130.5,187.8,51.4,710.7,2033.022267,4.808963864,4.817092345,4.895383532,4.955124805,5.120046628,6359.0,8012.376962,8781.447988,9819.185652,10409.1688,2227.599187,2591.528684,2720.290281,3023.727876,3179.117322,874.2476632,1019.954556,1076.246548,1162.762131,1207.405621,844.452943,893.5745993,910.0935816,991.3473316,1017.740023,0.0,0.0,0.0,0.0,0.0,192244.940261841,2026.02188303956,6878.32025747453,10575.1665777575,4547.57176968746,6280.55864230025
17,18,102,102,House of Israel,Jerusalem,1,1,Ultra Orthodox,1223.0,219.25,51.1,37.0,74.5,381.85,1604.85,6.547929394,6.40943294,6.486236597,6.56534802,6.467875086,8008.117648,9244.004657,9686.221422,10047.28034,10379.96933,2123.321942,2471.939599,2715.898356,2964.339575,3207.981853,1027.921004,1185.430504,1254.653997,1328.206146,1403.93829,7572.305557,7662.836183,7667.716767,7708.018976,7720.617514,0.0,0.0,0.0,0.0,0.0,147701.995010376,1725.76861070408,8280.18605919361,10865.459196318,6959.42532074661,9505.20871367631
18,19,101,101,Redemption East,Jerusalem,1,1,Ultra Orthodox,788.75,55.45,25.0,25.0,31.0,136.45,925.2,6.0,6.0,6.0,6.0,6.0,4732.5,5065.2,5215.2,5365.2,5551.2,1446.438806,1647.723924,1659.835647,1671.434674,1681.915486,548.6287597,609.1610813,644.732677,684.6675225,723.2446559,2141.391002,2189.486979,2215.704217,2221.429829,2216.429188,0.0,0.0,0.0,0.0,0.0,65323.3141479492,1188.99113214385,12074.5557736642,14163.3965157453,8398.66695154848,11071.76917359
19,20,903,903,Baruch West source,Jerusalem,1,1,Ultra Orthodox,1041.0,26.025,26.025,26.025,26.025,104.1,1145.1,3.912364622,4.001102627,4.054046332,4.076607678,4.069473821,4072.771572,4269.27653,4431.275344,4562.029738,4659.954472,3228.177165,3376.205046,3401.859488,3424.061957,3445.094869,2720.322197,2735.895344,2740.250926,2744.290078,2827.418012,1188.205584,1212.688431,1226.10346,1236.66212,1241.018949,0.0,0.0,0.0,0.0,0.0,123213.071334839,1502.98523252884,8448.77892192964,9293.65681412261,22078.1948500201,22947.3868427184
20,21,5302,5302,Givat Shaul Mizrah,Jerusalem,1,1,Ultra Orthodox,792.4,37.8,17.4,14.4,14.4,84.0,876.4,4.558850749,4.620145431,4.667111543,4.696796248,4.699101211,3612.433333,3835.644736,3955.843743,4048.638366,4118.292302,1175.51085,1295.537698,1380.648615,1465.835214,1550.965233,833.6179607,859.3592443,875.9469859,896.23908,949.304183,1243.33196,1289.679753,1321.235661,1319.868687,1302.578992,0.0,0.0,0.0,0.0,0.0,125265.142776489,1448.13400925006,6325.78211652926,6996.35972605533,6654.82784933575,7578.35868749094
21,22,111,111,Shabbat Square,Jerusalem,1,1,Ultra Orthodox,416.0,32.0,21.4,36.1,16.0,105.5,521.5,6.258650172,6.435735911,6.540550336,6.507383137,6.556198849,2603.598472,2883.209688,3070.134328,3289.482176,3419.0577,1712.702439,1822.226506,1862.593324,1894.082131,1932.583974,1256.720532,1280.901573,1298.665381,1325.652483,1339.996157,974.7273444,989.7340962,993.2890587,1014.349428,1012.380875,0.0,0.0,0.0,0.0,0.0,60082.1227416992,1147.13096512707,6923.85656526214,8679.78653553896,20916.7132360287,22302.7432429579
22,23,1206,1206,A Savannah,Jerusalem,1,1,Arab,1022.187242,75.81650331,76.01650331,68.81650331,68.81650331,289.4660133,1311.653255,3.926017625,3.936447378,3.945520469,3.952755802,3.959216003,4013.125128,4322.233965,4632.120922,4912.630182,5193.118559,2638.65,2770.5825,2909.111625,3054.567206,3207.295567,1312.293006,1450.52737,1521.103359,1556.07839,1590.850453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,829963.52645874,4023.67392314426,1231.60501565826,1580.37457452681,1581.14539273701,1916.77152342801
23,24,110,110,Zichron Moshe North,Jerusalem,1,1,Ultra Orthodox,432.0,36.0,22.0,22.0,28.0,108.0,540.0,5.024087182,5.161264717,5.260527033,5.293650919,5.246629585,2170.405663,2415.471888,2577.658246,2710.349271,2833.179976,1470.26087,1526.416667,1534.244444,1541.470085,1546.463415,771.2867478,812.4397658,860.4175085,906.6107477,952.0356612,694.8420848,712.1280256,730.3306157,742.99108,748.9700737,0.0,0.0,0.0,0.0,0.0,67695.9319763184,1219.05412189912,6381.47651399679,7976.84564249599,11393.3987653765,14063.4102139704
24,25,902,902,Baruch South source,Jerusalem,1,1,Ultra Orthodox,519.9088112,12.99772028,12.99772028,12.99772028,12.99772028,51.99088112,571.8996923,2.9,2.9,2.9,2.9,2.9,1507.735552,1545.428941,1583.12233,1620.815719,1658.509108,262.5257622,316.5021546,324.2186706,323.6035102,319.556494,1289.03107,1294.979731,1296.687902,1297.632337,1398.714483,651.1905502,664.4078461,683.0616714,693.1474395,688.3285087,0.0,0.0,0.0,0.0,0.0,63822.3202209473,1312.24947576619,8146.19100966749,8960.81011032086,20197.1828278491,21915.7573425374
25,26,808,808,Memory of Yosef,Jerusalem,1,1,Jewish,869.0,5.840681363,5.840681363,5.840681363,5.840681363,23.36272545,892.3627255,2.01713551,1.969003424,1.923320645,1.877385706,1.838600528,1752.890758,1722.564297,1693.832646,1664.343814,1640.698578,353.0,343.9020617,335.2825664,326.4359166,319.3423459,99.27133333,168.8039841,237.8627302,307.1595348,376.6170384,633.0,633.0,633.0,633.0,633.0,0.0,0.0,0.0,0.0,0.0,76118.3175048828,1304.2456246958,11416.4373108254,11723.3637677653,1304.17140819793,4947.78459042846
26,27,5502,5502,Mount Nof - South,Jerusalem,1,1,Ultra Orthodox,801.4558261,54.9,0.0,0.0,0.0,54.9,856.3558261,5.600048873,5.39078866,5.379986939,5.399811837,5.391329251,4488.191796,4616.433276,4607.18316,4624.160326,4616.896215,1060.911022,1187.88058,1166.596858,1136.336758,1123.126606,613.7987046,646.982469,651.7298148,655.1274632,659.7755634,742.9938917,721.4286567,681.5899384,716.5011786,721.8117511,0.0,0.0,0.0,0.0,0.0,194944.240898132,2892.43533363365,4111.20545242883,4392.82444125901,3148.58598423915,3384.43218614888
27,28,5504,5504,Mount Nof - Southwest,Jerusalem,1,1,Ultra Orthodox,649.5,9.75,9.75,9.75,9.75,39.0,688.5,3.390135505,3.262844238,3.154554753,3.000864992,2.812395425,2201.89301,2151.030064,2110.39713,2036.837114,1936.33425,1513.0,1513.0,1513.0,1513.0,1513.0,423.671675,429.1392304,473.4893879,478.2305173,481.6731265,718.548359,707.0357558,708.7435129,718.2372029,711.1535031,0.0,0.0,0.0,0.0,0.0,273882.067588806,2897.37774107156,2371.45865634083,2513.85571191788,1546.91279618964,1758.68807600489
28,29,1201,1201,A column,Jerusalem,1,1,Arab,3239.186872,98.05023185,78.65023185,237.6502319,260.6502319,675.0009274,3914.1878,4.074198682,4.074198682,4.074198682,4.074198682,4.074198682,13197.09088,13596.56701,13917.00368,14885.23794,15947.17877,2873.299144,3184.598288,3495.897432,3807.196576,4118.49572,990.1090266,1089.440552,1566.327728,1787.754335,1995.696349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023581.75500488,4321.24396268031,3164.56097049575,3824.01091154788,967.298431960891,1949.71856350691
29,30,801,801,Zion estate,Jerusalem,1,1,Jewish,955.0,37.9,23.5,23.5,23.5,108.4,1063.4,1.629287969,1.596548299,1.551907448,1.510063361,1.475119892,1555.97001,1585.212806,1577.35873,1570.314889,1568.642493,388.9925025,397.7653412,395.4091184,393.2959663,392.7942474,388.3647834,395.7481992,400.606113,405.2071903,409.7678303,218.0,218.0,218.0,218.0,218.0,0.0,0.0,0.0,0.0,0.0,62885.1233520508,1086.29649612296,15186.4216700921,16910.1997947392,6175.78153144125,6516.13304479011
30,31,608,608,Givat Ram campus,Jerusalem,1,1,Jewish,100.0,0.0,0.0,200.0,300.0,500.0,600.0,1.5,1.5,2.0,2.0,2.0,150.0,150.0,200.0,600.0,1200.0,2220.0,2220.0,2235.0,3355.0,3535.0,2350.7,2652.425514,2953.291632,3360.966615,3684.674932,0.0,0.0,0.0,0.0,0.0,5846.7,6263.52,6710.517375,7189.901222,7704.043609,654027.961746216,3535.76722635447,152.898661600042,917.391969600253,3594.18883823219,5633.81865534026
31,32,4905,4905,Beautiful view,Jerusalem,1,1,Jewish,2178.977273,84.5,142.25,75.25,75.25,377.25,2556.227273,2.121711264,2.107792713,2.083421842,2.053940266,2.018217772,4623.160623,4770.940902,5012.144746,5095.77912,5159.023312,1134.579297,1149.113281,1187.494966,1196.419705,1204.942401,678.173387,752.0023244,810.6435117,862.1008355,911.9801997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447054.291633606,3230.10043873917,4874.07751984144,5717.93475834702,1516.98216456406,2039.97638937204
32,33,2203,2203,City of David,Jerusalem,1,1,Arab,1172.167641,33.17455588,58.17455588,243.1745559,33.17455588,367.6982235,1539.865865,4.759887006,4.759887006,4.732009921,4.725136187,4.725884851,5579.385523,5737.29266,5978.973809,7119.321624,7277.228762,372.8665664,463.7331329,554.5996993,645.4662658,736.3328322,508.3693752,519.2532513,532.0621273,559.1160034,588.3150566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506131.014572144,4812.45410321145,2315.93719264742,3042.42542082058,1004.4224925235,1162.37701239733
33,34,807,807,Siblings estate,Jerusalem,1,1,Jewish,521.0,36.0,27.4,27.4,12.4,103.2,624.2,1.38668032,1.341469257,1.317739147,1.294443031,1.251604863,722.4604466,747.198376,770.0867576,791.9402462,781.2517553,180.6151117,188.0364905,194.903005,201.4590515,198.2525042,177.7571665,181.7484842,185.2078482,188.5771145,189.5985081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38318.883102417,908.573154879551,13596.4296925747,16289.6188370539,4638.89216251159,4947.91321535259
34,35,4906,4906,Beit Kerem Center,Jerusalem,1,1,Jewish,1005.75,59.5,225.95,61.05,50.25,396.75,1402.5,2.462654756,2.410275917,2.395689267,2.356559708,2.310062486,2476.815021,2567.54642,3093.313982,3186.657865,3239.862637,619.2037552,646.423175,804.1534435,832.1566085,848.11804,1520.17907,1537.390517,1587.134399,1604.909236,1619.26005,179.0,179.0,179.0,179.0,179.0,1674.75,1758.4875,1846.411875,1938.732469,2035.669092,237960.977020264,2049.1369820845,4226.53332741341,5893.82350653473,6388.35446481861,6804.72937317832
35,36,2,2,Sheva property,Jerusalem,1,1,Jewish,218.1776044,12.5,12.5,12.5,12.5,50.0,268.1776044,1.720154422,1.681577896,1.667207243,1.667175356,1.663320103,375.299171,387.9023606,405.4274634,426.259401,446.0652006,0.0,0.0,0.0,0.0,0.0,1406.989624,1457.970314,1467.650772,1476.665773,1484.933194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31863.6307983398,823.653794507019,6847.22986469475,8416.41701466026,44156.600762312,46602.7617316407
36,37,304,304,The Christian quarter,Jerusalem,1,1,Arab,1281.0,10.0,10.0,10.0,10.0,40.0,1321.0,3.1,3.1,3.1,3.1,3.1,3971.1,4002.1,4033.1,4064.1,4095.1,1539.3,1548.6,1557.9,1567.2,1576.5,3349.985677,3399.125766,3460.398039,3518.77248,3574.41008,350.0,350.0,350.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,228124.435409546,2006.90791639916,5615.35636329468,5790.69926300724,14684.9050650179,15668.6857047249
37,38,806,806,Gerard Bacher,Jerusalem,1,1,Jewish,557.0,6.169354839,226.1693548,6.169354839,6.169354839,244.6774194,801.6774194,2.008240334,1.971183314,2.032408298,1.979317884,1.919159468,1118.589866,1110.110035,1604.258543,1574.563339,1538.54681,572.0,570.3040338,669.1337355,663.1946947,655.9913888,95.32233333,269.496424,468.5379071,641.679319,814.7048399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76198.019744873,1440.66141589053,7309.90125287971,10520.9744568715,1250.98176631308,10691.9424235407
38,39,805,805,Gates of grace,Jerusalem,1,1,Ultra Orthodox,378.0,11.05,11.05,11.05,11.05,44.2,422.2,3.233543858,3.137912705,3.02870793,2.877475939,2.698053523,1222.279578,1220.804938,1211.786043,1183.074232,1139.118197,234.0,233.5576078,230.8519393,222.2383961,209.0515857,50.556,132.9898243,214.6117274,295.9943025,376.9576613,503.1846747,504.12153,513.3584772,519.0839286,510.4285434,0.0,0.0,0.0,0.0,0.0,67181.2719573975,1393.2305708432,5626.56807450306,6284.48952660103,752.531152313694,5611.05275796274
39,40,507,507,Kiryat Wolfson,Jerusalem,1,1,Jewish,584.0,2.0,2.0,2.0,2.0,8.0,592.0,1.462332101,1.537980318,1.618250359,1.68899663,1.746153098,854.0019471,901.2564662,951.5312111,996.5080116,1033.722634,132.0,146.1763557,161.2587792,174.7518193,185.9162061,387.068,388.5214993,390.0580548,391.4489168,392.6263189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53232.8992004395,1352.60447853366,10970.6592872398,11120.9422911746,7271.21772087898,7375.63282851892
40,41,4009,4009,Mount Herzl,Jerusalem,1,1,Jewish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,807.4711131,824.5736731,836.4245942,847.2787089,857.1913953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548579.29283142,5380.06215429992,0.0,0.0,521.427037567847,553.534067818195
41,42,409,409,in any case,Jerusalem,1,1,Jewish,549.0,0.0,0.0,0.0,0.0,0.0,549.0,1.6,1.6,1.6,1.6,1.6,878.4,878.4,878.4,878.4,878.4,0.0,0.0,0.0,0.0,0.0,2015.068398,2037.62296,2061.904105,2084.227494,2104.705089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115020.985076904,1403.65959324376,4773.0420638715,4773.0420638715,17519.1370222808,18298.4443020791
42,43,302,302,the Jewish Quarter,Jerusalem,1,1,Jewish,583.0,5.0,5.0,5.0,5.0,20.0,603.0,5.75897748,5.787851315,5.879351741,6.085842027,6.297577855,3357.483871,3403.256573,3486.455582,3639.333532,3797.439446,1400.0,1413.731811,1438.691513,1484.554898,1531.986673,3173.608132,3252.022034,3319.125011,3391.747512,3468.209709,590.0,590.0,590.0,590.0,590.0,0.0,0.0,0.0,0.0,0.0,121859.64994812,1719.41986049906,4784.19230851396,4948.31554379746,26043.1417072929,28460.6899041359
43,44,508,508,Rehavia North,Jerusalem,1,1,Jewish,752.0,28.2,28.2,28.2,28.2,112.8,864.8,2.499137477,2.503778446,2.472528731,2.43816788,2.384560425,1879.351383,1953.447943,1998.792226,2039.771249,2062.167856,235.0,257.2289681,270.832253,283.1259597,289.8449418,271.9456667,276.1547221,279.5730899,282.871413,285.6587197,36.0,36.0,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,118771.459762573,1611.26240367571,6331.48739186388,7281.21050064346,2289.65499997748,2405.11247627198
44,45,303,303,The Armenian quarter,Jerusalem,1,1,Arab,665.0,10.0,10.0,10.0,10.0,40.0,705.0,3.5,3.5,3.5,3.5,3.5,2327.5,2362.5,2397.5,2432.5,2467.5,419.1,429.6,440.1,450.6,461.1,977.914277,1006.420454,1044.314357,1080.990309,1116.515974,274.0,274.0,274.0,274.0,274.0,0.0,0.0,0.0,0.0,0.0,127528.007858276,1556.24770784348,5214.54079906136,5528.19738847859,7668.23142165578,8755.06481086727
45,46,605,605,Niyot,Jerusalem,1,1,Jewish,757.0,9.6,0.0,24.2,0.0,33.8,790.8,2.4,2.4,2.4,2.4,2.4,1816.8,1839.84,1839.84,1897.92,1897.92,454.2,461.112,461.112,478.536,478.536,237.424,238.7968,238.7968,242.2574,242.2574,24.0,24.0,24.0,24.0,24.0,408.5,439.1375,472.0728125,507.4782734,545.5391439,305781.993057251,3443.68320517013,2475.61994227132,2586.15620917854,776.448598644419,792.255284812152
46,47,404,404,Yamin Moshe,Jerusalem,1,1,Jewish,137.0,0.0,0.0,0.0,0.0,0.0,137.0,2.537200916,2.560252649,2.566094409,2.558347645,2.532715898,347.5965255,350.754613,351.5549341,350.4936273,346.982078,30.0,30.0,30.0,30.0,30.0,311.636831,316.5815511,321.8424805,326.6127416,330.9010193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150418.6900177,1924.4685976078,910.79107246499,910.79107246499,2071.79593814657,2199.8663813723
